id,name,name_local,summary,type,focus,leadership,mode,country,country_name,region,lat,lng,languages,url,source_url,founded,added,verified,added_by,notes
reframing-autism,Reframing Autism,,"Australian registered charity providing education, resources, courses, and advocacy on autism, run by and for autistic people.",advocacy,autism|neurodiversity-general,nd-led,online,AU,Australia,"Sydney, New South Wales",-33.87,151.21,en,https://reframingautism.org.au/,https://reframingautism.org.au/about-us/,,2026-09-08,2026-09-08,editorial,Operates nationally with no single fixed HQ city stated; registered with the ACNC.
yellow-ladybugs,Yellow Ladybugs,,"Autistic-led Australian organisation running community events, education, and advocacy for autistic girls, women, and gender-diverse people.",community,autism|neurodiversity-general,nd-led,hybrid,AU,Australia,"Moonee Ponds, Melbourne, Victoria",-37.77,144.92,en,https://www.yellowladybugs.com.au/,https://www.yellowladybugs.com.au/,,2026-09-08,2026-09-08,editorial,CEO/founder is autistic; site states it is 'proudly autistic-led and neuro affirming'.
swac-bangladesh,The Society for the Welfare of Autistic Children (SWAC),,"Dhaka-based nonprofit founded in 2000 by parents of autistic individuals, running a school, therapy services, respite care, and a social enterprise for people with autism.",education,autism,ally-led,physical,BD,Bangladesh,"Adabar, Dhaka",23.78,90.37,bn|en,https://autism-swacbd.org/,https://www.autismaroundtheglobe.org/story/swac-a-praiseworthy-parent-initiative-in-bangladesh/,2000,2026-09-08,2026-09-08,editorial,Executive Committee is mainly composed of parents of autistic individuals.
collectif-autiste-belgique,Collectif Autiste de Belgique,,"A peer-support collective created by and for autistic adults, or those questioning their neurotype, in French-speaking Belgium, offering meetings and mutual aid to fill gaps in adult autism support.",community,autism,nd-led,hybrid,BE,Belgium,Brussels,50.8503,4.3517,fr,https://collectifautiste.be/,https://collectifautiste.be/,,2026-09-08,2026-09-08,editorial,Founding year not stated on the site. Listed in the Maison de l'Autisme Brussels directory alongside other Belgian autism organisations.
abda-tdah,ABDA - Brazilian Attention Deficit Association,Associação Brasileira do Déficit de Atenção (ABDA),"National patient association for ADHD, founded in Rio de Janeiro in 1999 and affiliated with the ADHD World Federation. Runs free monthly support groups in eight cities, trains health and education professionals, and helped shape Brazil's 2021 federal law on student health and education rights.",advocacy,adhd,unknown,hybrid,BR,Brazil,"Rio de Janeiro, Rio de Janeiro",-22.91,-43.17,pt,https://tdah.org.br/,https://www.youtube.com/@AbdaTdahAbda,1999,2026-09-08,2026-09-08,editorial,"Official domain tdah.org.br did not respond during verification (connection timeout from this network, DNS resolves fine); existence and current activity confirmed via its active YouTube channel and USP-hosted institutional materials referencing it."
abraca-br,ABRACA - Brazilian Association for Action for the Rights of Autistic People,Associação Brasileira para Ação por Direitos das Pessoas Autistas (ABRAÇA),"A national rights organization for autistic people, based in Fortaleza, Ceará. States it is led by autistic people and allied human-rights defenders, and works on self-advocacy, deinstitutionalization, and legal protections grounded in neurodiversity and the CRPD.",advocacy,autism,nd-led,hybrid,BR,Brazil,"Fortaleza, Ceará",-3.73,-38.53,pt,https://abraca.net.br/,https://abraca.net.br/,2008,2026-09-08,2026-09-08,editorial,"Founding year (2008) drawn from secondary coverage, not stated on the current site. Explicitly describes itself as 'protagonizada e liderada por pessoas autistas' (protagonized and led by autistic people)."
festival-acessa-bh,Acessa BH Festival,Festival Acessa BH,"Belo Horizonte's annual disability-culture arts festival, in its sixth edition in 2026, curated by disabled curators Daniel and Lais Vitral under the principle 'nothing about us without us.' Programs dance, theatre, film, and literature across six venues, including neurodivergent artists.",arts,neurodiversity-general|intellectual-disability,nd-led,physical,BR,Brazil,"Belo Horizonte, Minas Gerais",-19.92,-43.93,pt,https://www.acessabh.com.br/,https://jornalistainclusivo.com/acessa-bh-2026-cultura-def-assume-o-protagonismo-em-maior-festival-de-arte-inclusiva-do-brasil/,2021,2026-09-08,2026-09-08,editorial,"Founding year inferred from '6th edition' in 2026, not directly confirmed. A broader disability-culture festival (physical, sensory, intellectual, and neurodivergent artists), not exclusively a neurodiversity event; included for its explicit disability-led curation model."
coletivo-autista-ufrgs,Autistic Collective of UFRGS,Coletivo Autista UFRGS,"Student collective at the Federal University of Rio Grande do Sul in Porto Alegre, founded in 2021 as part of the wave of autistic collectives inspired by USP's CAUSP. Provides a welcoming space and mutual support for autistic students, including those admitted through disability quotas.",community,autism,nd-led,hybrid,BR,Brazil,"Porto Alegre, Rio Grande do Sul",-30.03,-51.23,pt,https://www.ufrgs.br/jornal/coletivo-acolhe-estudantes-com-transtorno-do-espectro-autista/,https://www.ufrgs.br/jornal/coletivo-acolhe-estudantes-com-transtorno-do-espectro-autista/,2021,2026-09-08,2026-09-08,editorial,No independent website found; verified via UFRGS's own newspaper. Part of the CAUSP-inspired network of university autistic collectives; exact internal leadership composition not independently confirmed.
coletivo-autista-usp,Autistic Collective of USP (CAUSP),Coletivo Autista da USP (CAUSP),"Student collective at the University of São Paulo, founded in 2021 by an autistic undergraduate to support autistic students' retention in higher education. Runs peer mentoring, support groups, and awareness campaigns; inspired similar collectives at over 20 other Brazilian universities.",community,autism|neurodiversity-general,nd-led,hybrid,BR,Brazil,"São Paulo, São Paulo",-23.56,-46.73,pt,https://www.instagram.com/coletivoautista/,https://jornal.usp.br/universidade/autistas-chegam-a-universidade-novo-coletivo-da-usp-quer-conscientizar-sobre-neurodiversidade/,2021,2026-09-08,2026-09-08,editorial,No independent website; operates via Instagram/Facebook (@coletivoautista). Founder Giulia Jardim Martinovic is autistic; collective won 2nd place in USP's 2021 Diversity Prize.
moab-brasil,Brazilian Autism Pride Movement (MOAB),Movimento Orgulho Autista Brasil (MOAB),"Founded in Brasília in 2005 by relatives of autistic people, one of Brazil's oldest national autism organizations. Runs the annual June 18 Autism Pride Day campaign and lobbies Congress on autism policy; family-led rather than a self-advocacy group.",advocacy,autism,ally-led,hybrid,BR,Brazil,"Brasília, Distrito Federal",-15.79,-47.88,pt,https://www.instagram.com/moabbrasil/,https://pt.wikipedia.org/wiki/Movimento_Orgulho_Autista_Brasil,2005,2026-09-08,2026-09-08,editorial,"Official domain moab.org.br no longer resolves; verified via Wikipedia, an active Instagram/Facebook presence (@moabbrasil), and Brazilian Congress recognition of its 10th anniversary."
abd-dislexia,Brazilian Dyslexia Association (ABD),Associação Brasileira de Dislexia (ABD),"Founded in São Paulo in 1983 by the father of a child with dyslexia. Offers technical guidance to dyslexic people, families, and educators, and lobbies for legislation and workplace access; one of Brazil's oldest learning-disability organizations.",advocacy,dyslexia,ally-led,hybrid,BR,Brazil,"São Paulo, São Paulo",-23.55,-46.65,pt,https://www.dislexia.org.br/,https://www.dislexia.org.br/quem-somos/,1983,2026-09-08,2026-09-08,editorial,
ouvidores-de-vozes-ribeirao-preto,Hearing Voices Network - USP Ribeirão Preto,Ouvidores de Vozes (USP Ribeirão Preto),"Hearing-voices peer information network based at the University of São Paulo's Ribeirão Preto campus, built jointly by voice-hearers and researchers at the Laboratory of Teaching and Research in Psychopathology, Drugs and Society. Shares coping strategies and hosts an in-person support group.",community,hearing-voices|psychosis,mixed,hybrid,BR,Brazil,"Ribeirão Preto, São Paulo",-21.17,-47.81,pt,https://sites.usp.br/ouvidoresdevozes/,https://sites.usp.br/ouvidoresdevozes/,,2026-09-08,2026-09-08,editorial,"Founding year not stated. Site describes itself as built collaboratively by lived-experience voice-hearers and professional researchers, part of the international Hearing Voices Movement/Intervoice framework."
instituto-abcd,Instituto ABCD,,"Nonprofit founded in São Paulo in 2009 by a family member of a person with dyslexia. Develops the free EduEdu learning app used by over a million students, trains teachers through its 'Todos Aprendem' program, and advocates for policy on dyslexia and other learning disorders.",education,dyslexia|learning-disabilities,ally-led,hybrid,BR,Brazil,"São Paulo, São Paulo",-23.57,-46.68,pt,https://www.institutoabcd.org.br/,https://www.institutoabcd.org.br/quem-somos/,2009,2026-09-08,2026-09-08,editorial,
introvertendo-podcast,Introvertendo,,"Podcast and media outlet founded in Goiânia in 2018 by autistic students from the Federal University of Goiás, billed as Brazil's first podcast produced by autistic people. Paused in 2023 and relaunched in 2025 under production by NAIA Autismo with new hosts.",media,autism|neurodiversity-general,nd-led,online,BR,Brazil,"Goiânia, Goiás",-16.68,-49.25,pt,https://www.introvertendo.com.br/,https://en.wikipedia.org/wiki/Introvertendo,2018,2026-09-08,2026-09-08,editorial,"Site reachable (301 redirect to www subdomain, then 200). At least 80% of original-run guests were autistic; site includes audio description and Libras support."
mad-in-brasil,Mad in Brasil,,"Brazilian outlet of the international Mad in the World network, publishing critical-psychiatry journalism, lived-experience narratives, and mad-studies scholarship. Hosted at Fiocruz's National School of Public Health (ENSP) in Rio de Janeiro and runs a virtual library on psychiatric medication.",media,mad-pride|hearing-voices|psychosis,unknown,online,BR,Brazil,"Rio de Janeiro, Rio de Janeiro",-22.88,-43.24,pt,https://madinbrasil.org/,https://madinbrasil.org/,,2026-09-08,2026-09-08,editorial,Founding year not confirmed. Editorial leadership not disclosed in detail; publishes both academic/professional content and first-person accounts from psychiatric survivors.
mnla-luta-antimanicomial,National Anti-Asylum Struggle Movement (MNLA),Movimento Nacional da Luta Antimanicomial (MNLA),"National psychiatric-reform movement consolidated in 1993 at its first national meeting in Salvador, bringing together psychiatric-service users, family members, and mental-health workers. Campaigns against asylum-based care and organized May 18 as Brazil's National Anti-Asylum Struggle Day.",advocacy,mad-pride,mixed,hybrid,BR,Brazil,"Salvador, Bahia",-12.97,-38.5,pt,https://pt.wikipedia.org/wiki/Movimento_antimanicomial,https://pt.wikipedia.org/wiki/Movimento_antimanicomial,1993,2026-09-08,2026-09-08,editorial,"National movement with no fixed headquarters or independent website; located at the city of its founding national meeting (Salvador, 1993). Has an active Facebook page (mnlaemluta) that could not be verified via automated request from this network. Explicitly composed of 'usuários, familiares e trabalhadores' (users, family members, and workers)."
riostoc,RIOSTOC,"Riostoc - Associação de familiares, amigos e pessoas com TOC e Síndrome de Tourette","Rio de Janeiro support association for people with OCD and Tourette syndrome and their families, coordinated by volunteer family members with input from mental-health professionals at UFRJ's IPUB and DPA. Holds free monthly online meetings and shares coping information.",community,tourette|ocd,ally-led,online,BR,Brazil,"Rio de Janeiro, Rio de Janeiro",-22.93,-43.19,pt,https://riostoc.org.br/,https://riostoc.org.br/,,2026-09-08,2026-09-08,editorial,"Founding year not stated on site. Explicitly coordinated by volunteer family members, advised by volunteer psychiatrists/psychologists; directs members to public healthcare rather than private practice."
specialisterne-brasil,Specialisterne Brasil,,"São Paulo branch of the international Specialisterne network for autistic and neurodivergent employment. Trains autistic and neurodivergent jobseekers and places them with corporate clients including Itaú, IBM, and Carrefour, while advising companies on inclusive hiring and diversity training.",work,autism|neurodiversity-general,unknown,hybrid,BR,Brazil,"São Paulo, São Paulo",-23.53,-46.64,pt,https://specialisternebrasil.com/en/,https://specialisternebrasil.com/en/,,2026-09-08,2026-09-08,editorial,Founding year and leadership composition not stated on the Brazilian site; part of the international Specialisterne network founded in Denmark in 2004.
ufsc-neurodivergentes,UFSC Neurodivergent Students Project,Neurodivergentes: vivências de estudantes autistas no ensino superior (UFSC),"University extension project at the Federal University of Santa Catarina in Florianópolis, coordinated by education professor Wellington Oliveira dos Santos. Runs recurring online sessions where autistic students and community members discuss higher-education experiences, employment, and identity.",education,autism,unknown,online,BR,Brazil,"Florianópolis, Santa Catarina",-27.6,-48.52,pt,https://noticias.ufsc.br/2026/02/ufsc-abre-inscricoes-para-projeto-de-apoio-a-estudantes-de-graduacao-autistas/,https://noticias.ufsc.br/2026/02/ufsc-abre-inscricoes-para-projeto-de-apoio-a-estudantes-de-graduacao-autistas/,,2026-09-08,2026-09-08,editorial,Run as a recurring extension course (fourth edition as of February 2026); exact founding year and whether facilitators are themselves autistic are not stated in the source.
a4a-ontario,Autistics 4 Autistics Ontario,,Collective of autistic adults formed in 2017 that advocates for Ontario's autism policy and funding to shift from a charity model to a disability-rights model. An international affiliate of ASAN.,advocacy,autism,nd-led,online,CA,Canada,"Toronto, ON",43.65,-79.38,en,https://a4aontario.com/,https://a4aontario.com/about/,2017,2026-09-08,2026-09-08,editorial,International affiliate of the Autistic Self Advocacy Network (ASAN).
fuan-autismo-neurodiversidad,FUAN - Autism and Neurodiversity Union Foundation,Fundación Unión Autismo y Neurodiversidad (FUAN),"A Chilean nonprofit combining autistic self-advocates and professionals that publishes public education on autism law, family mental health, and accessibility, and advocates on implementation of Chile's 2023 Autism Law.",advocacy,autism|neurodiversity-general,mixed,hybrid,CL,Chile,"Valparaíso Region, Chile",-33.02,-71.55,es,https://fuan.cl/,https://fuan.cl/,,2026-09-08,2026-09-08,editorial,"Exact headquarters city not confirmed on the public site; documented activity centers on the Valparaíso region. President Gabriela Verdugo Weinberger; team includes Chantal Garay Soto, also president of FENAUT (Federación Nacional de Autismo)."
orgullo-loco-chile,Mad Pride Chile (Orgullo Loco),Orgullo Loco Chile,"A psychiatric survivor movement, active since 2015, that organizes Chile's annual Mad Pride marches and campaigns against practices like electroshock, reclaiming madness as an identity rather than an illness.",advocacy,mad-pride,nd-led,hybrid,CL,Chile,"Santiago, Santiago Metropolitan Region",-33.45,-70.65,es,https://www.instagram.com/orgulloloco_chile/,https://www.instagram.com/orgulloloco_chile/,2015,2026-09-08,2026-09-08,editorial,"Grew out of the Colectivo Autogestión Libre-Mente (founded 2014), a peer-support group of psychiatric service users/survivors meeting weekly at the Ailanto cultural center in Santiago. Instagram bio: 'Celebramos el derecho a la locura desde el año 2015'; also documented in academic literature."
nucleo-milenio-disca,Millennium Nucleus on Disability and Citizenship (DISCA),Núcleo Milenio Discapacidad y Ciudadanía (DISCA),"A Chilean state-funded interdisciplinary research center at Universidad Diego Portales studying disability and citizenship, using participatory methods with an advisory council of people with lived disability experience.",research,neurodiversity-general,mixed,hybrid,CL,Chile,"Santiago, Santiago Metropolitan Region",-33.44,-70.64,es,https://nucleodisca.cl/,https://nucleodisca.cl/,,2026-09-08,2026-09-08,editorial,"Scope is disability studies broadly (physical, sensory, intellectual, psychosocial), not neurodiversity-exclusive, but includes research on psychiatric institutionalization and disabled youth activism. ANID-funded Millennium Nucleus, director Florencia Herrera."
beijing-stars-and-rain,Beijing Stars and Rain Education Institute for Autism,星星雨,"China's first NGO dedicated to autistic children, founded in Beijing in 1993 by a parent, running an autism education and training programme for children and parents.",education,autism|intellectual-disability,ally-led,physical,CN,China,Beijing,39.9,116.41,zh|en,https://guduzh.org.cn/,https://en.wikipedia.org/wiki/Children_of_the_Stars,1993,2026-09-08,2026-09-08,editorial,"Site intermittently unreachable, verified via Wikipedia/British Council. Older autismchina.org domain is now dead."
autiscol-colombia,AUTISCOL (Colombian Autistic People's Association),Asociación Autistas de Colombia,"A Colombian association made up of adult autistic people that publishes self-advocacy writing on rights and neurodiversity, tracks pending autism-related legislation, and runs public petitions and reports.",advocacy,autism|neurodiversity-general,nd-led,hybrid,CO,Colombia,"Bogotá, Cundinamarca",4.71,-74.07,es,https://autiscol.my.canva.site/paginaweb,https://autiscol.my.canva.site/paginaweb,,2026-09-08,2026-09-08,editorial,"Explicitly self-describes as run by autistic people ('conformada por un grupo de autistas'). Also active on Substack (autiscol.substack.com) and Instagram (@autiscol). No fixed city/office found; coordinates approximate Bogotá as a placeholder for a national, largely online organization."
disfam-colombia,DISFAM Colombia,Disfam Colombia (Dislexia y Familia),"The Colombian chapter of the international dyslexia/specific-learning-differences network DISFAM, doing advocacy and outreach for families and professionals and pushing regulation of Colombia's 2022 dyslexia law.",advocacy,dyslexia,ally-led,hybrid,CO,Colombia,"Bogotá, Cundinamarca",4.65,-74.06,es,https://disfam.org/colombia/,https://disfam.org/colombia/,,2026-09-08,2026-09-08,editorial,"Run by named regional representatives (Bogotá, Cali), not self-described as dyslexic-led. Most recent dated content is a December 2024 legislative working meeting on Colombia's dyslexia decree."
barriletea-costa-rica,BarrileTEA,Asociación BarrileTEA,San José nonprofit founded in November 2018 that campaigns for autism rights and legislation in Costa Rica. Known for its annual kite-flying 'BarrileTEAda' awareness events and its advocacy role in Costa Rica's 2021 Autism Law and 2024 implementing regulation.,advocacy,autism,unknown,hybrid,CR,Costa Rica,"San José, San José",9.93,-84.08,es,https://www.facebook.com/BarrileTEAutismoCostaRica/,https://elmundo.cr/costa-rica/familias-volaran-papalotes-para-pedir-una-ley-de-autismo-en-costa-rica/,2018,2026-09-08,2026-09-08,editorial,"Official site barriletea.org was intermittently unresolvable on repeated checks, so the confirmed-live Facebook page is used as the primary url, with a 2024 elmundo.cr news article as source_url. Founder Jessica Varela's own neurodivergent status was not stated in available sources, so leadership is marked unknown rather than assumed."
eucap,European Council of Autistic People (EUCAP),,"An umbrella network of autistic-led organisations from across Europe that lobbies EU and national institutions, coordinates member groups, and represents autistic people in disability policy forums.",advocacy,autism|neurodiversity-general,nd-led,online,CZ,Czechia,Prague,50.0755,14.4378,en|fr|de|es,https://eucap.eu/,https://eucap.eu/about-eucap/,2019,2026-09-08,2026-09-08,editorial,"Registered as 'European Council of Autistic People z.s.' in Prague, but is a pan-European body: 27 member organisations across 18 countries as of the source page. Prague is a legal registration address, not an operational hub; board and members are distributed across Europe."
pasparta,PASPARTA,Nakladatelství Pasparta,"A Czech publishing house and social enterprise, founded by the autism organisation APLA Praha, that creates adapted graphic-design and publishing jobs for people with autism.",work,autism,ally-led,hybrid,CZ,Czechia,Prague,50.09,14.46,cs,https://www.pasparta.cz/,https://docplayer.cz/928302-Nakladatelstvi-pasparta-o-p-s-fungovani-socialniho-podniku-praxe-v-cr-martin-marik.html,2012,2026-09-08,2026-09-08,editorial,"Founded December 2012 by APLA Praha (now part of NAUTIS); publishes psychology, autism and special-education titles and offers graphic design services, employing people with autism in adapted roles. Cited as a good-practice example at the UN."
specialisterne-foundation,Specialisterne Foundation,,"A Danish foundation, founded by the father of an autistic son, that places autistic and other neurodivergent people into paid jobs with partner companies through an assessment and training model.",work,autism|neurodiversity-general,ally-led,hybrid,DK,Denmark,Ballerup,55.7308,12.3606,da|en,https://www.specialisterne.com/,https://european-social-fund-plus.ec.europa.eu/en/social-innovation-match/case-study/specialisterne-foundation-going,2004,2026-09-08,2026-09-08,editorial,"Founded by Thorkil Sonne; credited with creating roughly 10,000 jobs for autistic people globally through corporate partnerships (SAP, Microsoft, IBM and others). Included as a large, well-known anchor organisation; leadership is not itself predominantly neurodivergent-led."
fundacion-dominicana-de-autismo,Dominican Autism Foundation,Fundación Dominicana de Autismo,"Santo Domingo nonprofit founded in 1999 and made up of parents of autistic children. Provides autism awareness education, a professional training diploma in neurodevelopmental-disorder evaluation, and support services for families.",advocacy,autism,ally-led,physical,DO,Dominican Republic,"Santo Domingo, Distrito Nacional",18.49,-69.94,es,http://fundaciondominicanadeautismo.org/,http://fundaciondominicanadeautismo.org/,1999,2026-09-08,2026-09-08,editorial,"Site lists training sessions scheduled into 2026, indicating current activity; returns HTTP 406 to bare requests without browser headers (bot-filtering quirk, not a dead site). Membership explicitly described as the children's own parents, hence ally-led rather than nd-led."
cle-autistes,CLE Autistes,Collectif pour la Liberté d'Expression des Autistes,"A French self-advocacy collective, run entirely by autistic people, that organises peer support, training and campaigns and treats autism as a political identity rather than only a diagnosis.",advocacy,autism|neurodiversity-general,nd-led,online,FR,France,Paris,48.8566,2.3522,fr,https://asso.cle-autistes.fr/,https://asso.cle-autistes.fr/qui-sommes-nous/,2018,2026-09-08,2026-09-08,editorial,"Founded September 2018; over 130 members and 400 supporters nationally. Governed by a collegial leadership composed entirely of autistic people, renewed by co-optation."
aspies-ev,Aspies e.V.,,"The oldest and largest German self-help association for autistic adults, run by an all-autistic board, offering local peer groups nationwide, a crisis helpline and an online self-help forum.",community,autism,nd-led,online,DE,Germany,Berlin,52.52,13.405,de,https://aspies.de/,https://de.wikipedia.org/wiki/Aspies,2004,2026-09-08,2026-09-08,editorial,"Around 550 members, board of five autistic people, registered at Berlin-Charlottenburg district court. Member of EUCAP. Automated HTTPS checks from this session failed with a TLS renegotiation error against aspies.de specifically; live page content was independently confirmed via a fetch tool, so it is not treated as down."
autism-awareness-care-and-training-centre,Autism Awareness Care and Training Centre (AACT),,"Accra-based centre for autistic children founded in 1998 by a nurse practitioner and parent, providing behaviour management, therapy, and individualized education plans.",education,autism,ally-led,physical,GH,Ghana,"Haatso, Greater Accra",5.68,-0.19,en,https://aactgh.org/,https://aactgh.org/about.html,1998,2026-09-08,2026-09-08,editorial,"Parent-led, professionally run. Site returns 406 to a bare curl user agent; needs a full browser-style header."
neurodiversity-association-hong-kong,NeuroDiversity Association Hong Kong (NDAHK),香港腦力多元協會,"Hong Kong advocacy organisation, established in 2024, promoting the value of neurodiversity through cross-sector partnerships, education, and conferences.",advocacy,neurodiversity-general|autism|adhd,unknown,hybrid,HK,Hong Kong,Hong Kong,22.32,114.17,en|zh,https://www.ndahk.com/,https://www.ndahk.com/about-us,2024,2026-09-08,2026-09-08,editorial,
action-for-autism,Action for Autism (AFA) - National Centre for Autism,,"Delhi-based Indian non-profit, founded in 1991 as a parent support group, running assessment, education, therapy, employment, and self-advocacy services for autistic people.",care,autism|intellectual-disability,ally-led,hybrid,IN,India,New Delhi,28.61,77.21,en|hi,https://www.autism-india.org/,https://en.wikipedia.org/wiki/Action_for_Autism,1991,2026-09-08,2026-09-08,editorial,"Runs a Self-Advocacy Programme, but it is professionally facilitated rather than self-advocate-run."
bapu-trust,Bapu Trust for Research on Mind & Discourse,,"Pune-based trust doing non-coercive, community-based mental health work, including an urban community mental health and inclusion programme; founder was active in the international Hearing Voices movement.",research,mad-pride|hearing-voices|intellectual-disability|neurodiversity-general,mixed,hybrid,IN,India,"Pune, Maharashtra",18.52,73.86,en,https://baputrust.com/,https://www.madinamerica.com/2024/05/remembering-bhargavi-davar-a-global-leader-in-the-struggle-for-human-rights/,1999,2026-09-08,2026-09-08,editorial,About page 404'd during verification; leadership framing not explicitly self-declared. Site returns 406 to a bare curl user agent.
ummeed-child-development-center,Ummeed Child Development Center,,"Mumbai-based non-profit founded in 2001 by a developmental pediatrician, providing trans-disciplinary clinical services, training, and research for children with developmental disabilities.",care,autism|down-syndrome|intellectual-disability|learning-disabilities,ally-led,hybrid,IN,India,"Lower Parel, Mumbai",19,72.83,en|hi,https://www.ummeed.org/about-us,https://www.mhinnovation.net/organisations/ummeed-child-development-center,2001,2026-09-08,2026-09-08,editorial,
yayasan-mpati,Yayasan MPATI (Masyarakat Peduli Autis Indonesia),Yayasan Masyarakat Peduli Autis Indonesia,"Indonesian national foundation, evolved from a 1998 parent community, focused on training and empowering parents of autistic children and advocating for government autism support policy.",advocacy,autism|adhd,ally-led,hybrid,ID,Indonesia,Jakarta,-6.21,106.85,id|en,https://autismindonesia.org/en/,https://autismindonesia.org/en/tentangkami/,1998,2026-09-08,2026-09-08,editorial,"Evolved from KOMPAA (Komunitas Peduli Autis dan ADHD), founded in 1998."
